Salt,Structure,Theory,Metal Basis Set,Halide Basis Set,Lattice Energy,a(0 K) [Angstrom],b(0 K) [Angstrom],c(0 K) [Angstrom],a(298 K) [Angstrom],b(298 K) [Angstrom],c(298 K) [Angstrom],Metal x,Metal y,Metal z,Halide x,Halide y,Halide z
LiI,Rocksalt,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.31E+02,6.050726,6.050726,6.050726,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.34E+02,4.594299,4.594299,4.594299,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBE-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-7.34E+02,4.607549,4.607549,7.466072,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiF,FiveFive,PBE-rVV10,pob_TZVP,Sapporo-QZP,-1.02E+03,4.084619,5.809389,3.354053,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiF,NiAs,PBE-rVV10,pob_TZVP,Sapporo-QZP,-1.02E+03,2.822983,2.822983,4.887708,,,,0,0,0,0.333333,0.666667,0.25
LiF,Rocksalt,PBE-rVV10,pob_TZVP,Sapporo-QZP,-1.03E+03,4.066192,4.066192,4.066192,,,,0,0,0,0.5,0.5,0.5
LiF,Sphalerite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-1.02E+03,3.101616,3.101616,3.101616,,,,0,0,0,0.25,0.25,0.25
LiF,Wurtzite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-1.02E+03,3.116806,3.116806,5.011508,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiCl,FiveFive,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.52E+02,5.200743,7.263453,4.193557,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiCl,NiAs,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.57E+02,3.566206,3.566206,6.044528,,,,0,0,0,0.333333,0.666667,0.25
LiCl,Rocksalt,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.60E+02,5.110829,5.110829,5.110829,,,,0,0,0,0.5,0.5,0.5
LiCl,Sphalerite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.51E+02,3.88741,3.88741,3.88741,,,,0,0,0,0.25,0.25,0.25
LiCl,Wurtzite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.52E+02,3.896512,3.896512,6.325561,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.09E+02,5.609775,7.743851,4.470914,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiBr,NiAs,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.17E+02,3.823899,3.823899,6.422018,,,,0,0,0,0.333333,0.666667,0.25
LiBr,Rocksalt,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.18E+02,5.466842,5.466842,5.466842,,,,0,0,0,0.5,0.5,0.5
LiBr,Sphalerite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.10E+02,4.152049,4.152049,4.152049,,,,0,0,0,0.25,0.25,0.25
LiBr,Wurtzite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.10E+02,4.159637,4.159637,6.766742,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiI,FiveFive,PBE-rVV10,pob_TZVP,Sapporo-QZP,-7.61E+02,6.220074,8.41383,4.857727,,,,0.25,0.166667,0.5,0.25,0.333333,0
LiI,NiAs,PBE-rVV10,pob_TZVP,Sapporo-QZP,-7.72E+02,4.195014,4.195014,6.916118,,,,0,0,0,0.333333,0.666667,0.25
LiI,Rocksalt,PBE-rVV10,pob_TZVP,Sapporo-QZP,-7.72E+02,5.964941,5.964941,5.964941,,,,0,0,0,0.5,0.5,0.5
LiI,Sphalerite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-7.65E+02,4.529326,4.529326,4.529326,,,,0,0,0,0.25,0.25,0.25
LiI,Wurtzite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-7.65E+02,4.530902,4.530902,7.39882,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
NaCl,FiveFive,PBE-rVV10,pob_TZVP,Sapporo-QZP,-7.87E+02,5.578583,8.151303,4.706157,,,,0.25,0.166667,0.5,0.25,0.333333,0
NaCl,NiAs,PBE-rVV10,pob_TZVP,Sapporo-QZP,-7.95E+02,3.880623,3.880623,6.745711,,,,0,0,0,0.333333,0.666667,0.25
NaCl,Rocksalt,PBE-rVV10,pob_TZVP,Sapporo-QZP,-8.00E+02,5.596793,5.596793,5.596793,,,,0,0,0,0.5,0.5,0.5
NaCl,Sphalerite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-7.77E+02,4.359606,4.359606,4.359606,,,,0,0,0,0.25,0.25,0.25
NaCl,Wurtzite,PBE-rVV10,pob_TZVP,Sapporo-QZP,-7.78E+02,4.37289,4.37289,7.071458,,,,0.333333,0.666667,0,0.333333,0.666667,0.375
LiBr,FiveFive,PBE-rVV10-DKH3,pob_TZVP,Sapporo-QZP-DKH3,-8.10E+02,5.584744,7.726163,4.460702,,,,0.25,0.166667,0.5,0.25,0.333333,0
